label,text
Neutral,දි මහින්ද රජපක්ෂ බලයට පත් කරන්න උදව් කිරිම ගැන අපි ජතියෙන් සමව ගන්නව     ජතියෙ බෞද්ධ නයකය කියල හිතන් ඉන්න පටලි
Location,ඔබ ඉන්නෙ කොහෙද කිය මම හොයනව ලොකෙ පුර
Location,කරු පොලිසියෙන් දැනුම් දුන්නට පස්සෙ රජිතව හැංගුවෙ කොහෙද
Neutral,දි මහින්ද රජපක්ෂ බලයට පත් කරන්න උදව් කිරිම ගැන අපි ජතියෙන් සමව ගන්නව     ජතියෙ බෞද්ධ නයකය කියල හිතන් ඉන්න පටලි
Neutral,PERSON PERSON හැ ගනෙමුල්ලෙ කොහෙද මං ගනෙමුල්ලෙම නෙමෙයි රගම ගනෙමුල්ල කඩවත මැද ඉන්නෙඑකම දුර
Neutral,PERSON හොදයි වගෙ මං ඉන්ටරෙස්ට් නිස මට හොදයි බලන්න වෙලවක ලුනි මර ද කොහෙද මග්දලෙනට උන්නෙ Jouaqin as jesu
Location,PERSON කොහෙද මෙ
Neutral,PERSON අපොයි මට මැවිල පෙනව ඔය දෙන්නට බැන බැන කමර ගනෙ ඇවිද ඇවිද බඩු පැක් කරන හැටි   කොහෙද මම කිව්වට අහන්නෙ නැනෙ මම නං දන්නෙ නැ
Location,PERSON අම්මො කොහෙද උන්නෙ
Location,PERSON PERSON එකත් කමක් නැ කියමුකො මට තියෙන ප්රෂ්නෙ තම අරුගෙ අත තියෙන්නෙ කොහෙද බන්
Neutral,නිම්සිගෙ vocabulary එකට හෙන ගහලද කොහෙද ඉයෙ පෙරෙද ඉදන්
Neutral,PERSON අපිට කොහෙද නත්තල්
Location,දි මහින්ද රජපක්ෂ බලයට පත් කරන්න උදව් කිරිම ගැන අපි ජතියෙන් සමව ගන්නව     ජතියෙ බෞද්ධ නයකය කියල හිතන් ඉන්න පටලි
Neutral,අහිම්සක වල් කොල්ලෙක් ලබන්නත් කෙල්ලෙක්ට පින තියෙන්න ඔන කොහෙද හැමොම පව්කරියො
Neutral,PERSON PERSON PERSON ප්රධන බෂ එකසිය ගනක් තියන ඉන්දියවෙ පව එක ජතික ගියයි තියෙන්නෙ අපෙ උන්ට අමු කැවිලද කොහෙද
Neutral,දි මහින්ද රජපක්ෂ බලයට පත් කරන්න උදව් කිරිම ගැන අපි ජතියෙන් සමව ගන්නව     ජතියෙ බෞද්ධ නයකය කියල හිතන් ඉන්න පටලි
Neutral,නම ඇහුවම සතුටු හිතෙන දෙෂපලකයෙකුට හිටියෙ Atal Bihari Vajpayee විතරමද කොහෙද
Neutral,දි මහින්ද රජපක්ෂ බලයට පත් කරන්න උදව් කිරිම ගැන අපි ජතියෙන් සමව ගන්නව     ජතියෙ බෞද්ධ නයකය කියල හිතන් ඉන්න පටලි
Neutral,Jul views ඉතින් කොහෙද නිවරන ධර්ම තෙරෙන්නෙ සියලු දෙනට වැඩි වැඩියෙන් ධර්මය අසන්නට ලැබෙව
Location,PERSON හිත කොහෙද ගියෙ
Location,PERSON කොහෙද කොහෙද
Neutral,ගොටබය එනකක් නටපියව් අයට පස්සෙ අඬපියව් කොහෙද ඉතින් මෙ සිරිසෙනය පබයනෙ
Neutral,නිතිඥ ගෞරි සංගරි තවරසගෙ උපදෙස් මත නිතිඥ මන්ඩලයක් පෙත්සම්කර රජිත සෙනරත්න වෙනුවෙන් පෙනි සිටියෙය   එක පිටුපසත් සිටින්නෙ PERSON
Neutral,PERSON කොහෙද බo ව්යංගර්ථයක් තියෙන්නෙ ඔය කෙලින්ම කියල තියෙන්නෙ මo
Location,PERSON ඇයි කොහෙද වැටුනෙ
Neutral,PERSON PERSON හැ ගනෙමුල්ලෙ කොහෙද මං ගනෙමුල්ලෙම නෙමෙයි රගම ගනෙමුල්ල කඩවත මැද ඉන්නෙඑකම දුර
Neutral,නිතිඥ ගෞරි සංගරි තවරසගෙ උපදෙස් මත නිතිඥ මන්ඩලයක් පෙත්සම්කර රජිත සෙනරත්න වෙනුවෙන් පෙනි සිටියෙය   එක පිටුපසත් සිටින්නෙ PERSON
Neutral,PERSON මම මෙ කතව කියපු පලමු අවස්තව අහබු සිදුවිමකින් බන අහන්න යොමු උනෙ සංසර පුරුද්දකටද කොහෙද එද ඉදල මැ
Neutral,PERSON ජොර්ජ් සැමුවෙල් සුද්දන්ගෙ නම් දගෙන අපෙ ගොට ස ට එක එක එව කියන් එන එන්ජිඔ කරෙයෙක්ද කොහෙද
Neutral,PERSON ඔව් අපිට matrix එකක් හදන්න අමුතුවෙන් රොබොල ඔන නැ අපි මෙ හදගන යන්නෙ එකෙ නම Gotham ද කොහෙද මිනිස්සු
Neutral,දි මහින්ද රජපක්ෂ බලයට පත් කරන්න උදව් කිරිම ගැන අපි ජතියෙන් සමව ගන්නව     ජතියෙ බෞද්ධ නයකය කියල හිතන් ඉ
Neutral,PERSON විස්තරත්මකව බලපු ගනම සිය පැනල ඉතින් කොහෙද
Neutral,PERSON PERSON PERSON මටනන් මිග්රෙන් එනව ගෙදර අවම ඇයි වදෙ ෆ්ලැෂස් එහෙන් සද්දෙ එහෙන් මුන් මෙ ඔය රස්සව
Neutral,නිතිඥ ගෞරි සංගරි තවරසගෙ උපදෙස් මත නිතිඥ මන්ඩලයක් පෙත්සම්කර රජිත සෙනරත්න වෙනුවෙන් පෙනි සිටියෙය   එක පිටුපසත් සිටින්නෙ PERSON
Neutral,අපිට කොහෙද පුසො DSLR ෆොන් එකට මොනොකියුලර් එක තිබ්බ ගත්ත
Neutral,මං ඉයෙ කිව්ව පබට ගන්න කියල කොහෙද ඉතින් ගත්තෙ නැනෙ
Neutral,නම ඇහුවම සතුටු හිතෙන දෙෂපලකයෙකුට හිටියෙ Atal Bihari Vajpayee විතරමද කොහෙද
Location,PERSON අඩෙ සැව්ලයිය දැක්ක කල් කොහෙද බොලෙ හිටියෙ සුබ නත්තලක් වෙව
Location,PERSON එසෙම වෙව කොහෙද හිටියෙ මෙ ටිකෙ
Neutral,PERSON PERSON එ ජනධිපති කලෙ විතරයි ද කොහෙද
Neutral,අපි කොහෙ හරි trip එකක් ගියම බලන්න යන තැන් වලටත් වෙලව මදි එකට අරුන් දෙන්න නුවර ගිහින් තියෙන්නෙ පොඩි පොඩි පොකට්
Location,PERSON කොහෙද මැට්ටො ඔය හිටියෙ
Neutral,නිතිඥ ගෞරි සංගරි තවරසගෙ උපදෙස් මත නිතිඥ මන්ඩලයක් පෙත්සම්කර රජිත සෙනරත්න වෙනුවෙන් පෙනි සිටියෙය   එක පිටුපසත් සි
Neutral,PERSON PERSON මන් දන්නැ කවුද කලෙ කියල එත් හිතන් ඇත්තෙ මන් කල කියලද කොහෙද
Neutral,PERSON PERSON PERSON එව කොහෙද මගෙත් එක්ක
Neutral,අහිම්සක වල් කොල්ලෙක් ලබන්නත් කෙල්ලෙක්ට පින තියෙන්න ඔන කොහෙද හැමොම පව්කරියො
Neutral,PERSON ඔයි wheel එවුනුත් බයටද කොහෙද එ ඉඩට ඔබල නැ
Neutral,මහ වැසි මැද සොමවතියෙ බුද්ධ පුජව අකන්ඩව     සොබදහමට නොවන අවනත ලොවෙ කිසිවක් නැ    බුද්ධ සසනයත් අතුරුදහන් වි
Neutral,ටිල්සියගෙ සෙනසුරද නලලෙද කොහෙද ඉන්නෙ ඇලර්ජි එකක් ඇවිල්ල කකුලකුත් කඩගෙන දැන් නල දතකුත් ඇවිල්ල කට ඇරගන්න බැලු පි
Location,PERSON එ කොහෙද එක තියෙන්නෙ
Neutral,PERSON License එකයි යි මස ක් ද කොහෙද cancel කරනව
Location,PERSON Hi hiකොහෙද ෆන හිටියෙ
Neutral,PERSON PERSON Ahh ඔව්මයි නැ නැ උරගෙන්ද කොහෙද නෙහ්
Neutral,මටත් තිබුන කතන්දරයක් ලියන්න පුර්ව අපර සන්ධි ගලපල කොහෙද ඉතිං උබ හදන්නෙ නව කතව ඇතුලෙ එලි සමය රකින්නනෙ
Neutral,PERSON ටයිම් තුනක් දෙන්න බැරි නිස එකම දවසෙ එකම වෙලවට අපෙ ගෙදර ගෙන්නන්න හැදුවෙ කොහෙද එකෙක්ට වැඩ අනික ක
Location,ඇයි යප කොහෙද කියල අහද්දි
Neutral,සිම්හයගෙ තත්ත නම් නරියෙක්ද කොහෙද
Neutral,PERSON අපෙත් අයියෙක් ඉන්නව දවසට වචන දෙකක් වත් ගෙදර අයත් එක්ක නැ ලෙඩක් ද කොහෙද එහෙම අයට
Neutral,PERSON PERSON අපෙ ගෙදරත් එකක් තිබ්බ හොයන්න ඔනෙ කොහෙද කියල
Location,PERSON කො තිය කොහෙද හැංගුවෙ
Neutral,PERSON අපිට කොහෙද ඔච්චර වසනවක්
Neutral,PERSON කොහෙද අක්ක එ
Neutral,PERSON PERSON හෙට දවල් ට හිල්ටන් එකෙ වෙනි තට්ටුවෙ රෙසිප්ෂන් එකෙන් ජුඩ් රොගන්ස්ගෙ පර්ටිය කොහෙද කියල ඇහුව නම් පෙන්වයි
Neutral,PERSON පුප් ගියද කොහෙද
Neutral,සංසරෙ අපි කරපු පවක් නිසද කොහෙද කුඩු හලගන්නෙ නැතුව තම හරියට අපිට පෙස්ට්රියක්වත් කගන්න බැරි
Neutral,PERSON PERSON PERSON ඇයි කොහෙද බොලව් මම බොරැ කිවුවෙ
Neutral,PERSON PERSON මගෙ මහගෙදර ඉදල ඇවිදින දුරෙ තියන අමින මුස්ලිම් විද්යලයට නං අගොස්තු නිවඩුව තියනව
Neutral,ඉස්සර අපෙ සියගෙ පැත්තෙ අය උග්ර කතොලික එයලගෙ පරම්පරික රස්සව වුනෙ නත්තල් කලෙට සැන්ට ක්ලොස්ට ඇදල චිමිනි අස්සෙන්
Neutral,Quote දහයක ලොතරැයි කොහෙද බං ඉෂු කරන්නෙට්විටර් එකටම අවෙනික එව ද මෙ කොට් දහයක ලොතරැයි යකො ඩුපක් ගහද්දි ටිකක් සැලකිලිමත් වෙයං
Location,PERSON කොහෙද කියල sure නැ මචං කොහෙ හරි ස්ටෙෂන් එකක
Neutral,හෙලොලො
Location,PERSON PERSON PERSON අන්න එකද කොහෙද
Location,PERSON PERSON PERSON Ray Z එකද කොහෙද එකෙ අලුත් එක
Neutral,PERSON ඔය නෙමෙද අර ඉලක්කම් හතකද කොහෙද පඩියක් ගන්නෙ
Location,PERSON PERSON සිරවටම මෙක ලංකවෙද  කොහෙද තැන
Neutral,PERSON හොස්පිටල් එකෙදි මුගෙ මෙනව හරි මරු කරල මැහුම් දලද කොහෙද
Neutral,මෛත්රිපල ගෙ photographer ගත්ත එකක්ද කොහෙද
Location,PERSON කොහෙද ඉන්නෙ
Neutral,ඉස්සර අපෙ සියගෙ පැත්තෙ අය උග්ර කතොලික එයලගෙ පරම්පරික රස්සව වුනෙ නත්තල් කලෙට සැන්ට ක්ලොස්ට ඇදල චිමිනි අ
Neutral,යන්නෙ කොහෙද මල්ලෙ අරුමොසම් බඩුවක්
Neutral,PERSON කොහෙද බන් තදබදයක් ඇති වෙන්නෙ
Neutral,PERSON දැන් රෙද්ද උස්සන් එයි   මම කොහෙද ඩො උඩ යන්නෙ   ගගෙන
Neutral,PERSON PERSON අපිට කොහෙද බුල් බල්ලො
Neutral,පැන්ටි හොදන උං කොහෙද බං පිරිමි උනෙ
Location,PERSON නුවර කොහෙද යන්නෙ
Neutral,PERSON මං දැන් ලබුදුවෙඔය කොහෙද
Location,PERSON කොහෙද බන් මෙ
Location,PERSON බකමුනෙ කොහෙද ඉන්නෙ
Location,PERSON එ කොහෙද මම Dodanduwe
Neutral,කොහෙද ඉතින් අපෙ සිරිසෙන ජනධිපතිතුමට කොන්දක් නැනෙ කොන්දක් තියෙන නයකයෙක් රටට හිටියනන් දෙමෙල්ලු මෙහෙම රගන්නෙ නැ අයුබොවන්
Neutral,මං හිතගෙන හිටියෙ අපි ඇතට ඇතට ප නගල ගිහින් අර ඇත පෙන කන්ද ලග තියෙන ලස්සන ෆයිනස් කැලෙ අතරමං වෙන්න කොහෙදවැස්ස වැඩෙ කැවඔයි
Location,PERSON කොහෙද මෙච්චර කල් හිටියෙ බං
Location,PERSON PERSON JVP සෙට් එකද කොහෙද බං
Location,PERSON කොහෙද බන් මෙ පට්ට සිර
Neutral,PERSON PERSON Charles Mark දැන් කොහෙද දෙන්න
Location,PERSON PERSON බොක්ක කොහෙද බං උන්නෙ
Neutral,PERSON මචන් බත්තලංගුන්ඩුව දැන් නැ නෙද සුනමියෙන් පස්සෙද කොහෙද එක යටවුනනෙ
Location,PERSON PERSON බෙලිඅත්ත කොහෙද යකො දික්වැල්ල
Neutral,PERSON PERSON PERSON යන්නෙ කොහෙද මල්ලෙ පොල් චුන් පන් ද
Location,PERSON කොහෙද ගියෙ
Neutral,PERSON මෙහෙම බැලුවම මිලින්ද විතරයි ද කොහෙද යවන්න පුලුවන් ඇත්තටම ප්රයොගිකව මෙ කරන ගැන නිර්නයක මහජන
Location,PERSON කොහෙද බං
Location,PERSON කොහෙද මෙහෙ ද
Neutral,PERSON මම දල කොහෙද
Neutral,පිට සක්වල උන්ද කොහෙද මව ලුහුබදිනව අම්මො
Neutral,PERSON PERSON බොටෙක්ද කොහෙද මු
Location,PERSON මෙ කොහෙද
Neutral,PERSON කොහෙද අතක්
Location,PERSON PERSON PERSON PERSON PERSON PERSON උබ කොහෙද යන්නෙ හිටහන් මෙන්න මෙ
Neutral,PERSON PERSON මට මෙච්චරකල් බොරුවටද කොහෙද කට්ටිය කියුට් කියල තියෙන්නෙ
Location,PERSON කොහෙද මල්ලෙ හිටියෙ
Location,PERSON කොහෙද මෙ
Neutral,කොහෙද ඉතින් අපෙ සිරිසෙන ජනධිපතිතුමට කොන්දක් නැනෙ කොන්දක් තියෙන නයකයෙක් රටට හිටියනන් දෙමෙල්ලු මෙහෙම රගන්නෙ නැ අ
Neutral,PERSON එක මර ලස්සනයි බන් මම හොරෙන් car එක බලන් ඉදල මට්ටු දැන් උෟ මම gay කියල හිතෙනවද කොහෙද
Neutral,PERSON අපිත් අසයි තමයි   එත් කොහෙද කත කරොත් හිතන්නෙ අපි බදින්න කත කරනව කියල නෙ
Location,අර ඉරජ් හදය කොහෙද දන්නෙ නැ ඉන්නෙ
Neutral,මම මොනහරි කල්පන කරද්දි තොල හපනව දැන් තොලෙ එක තැනකට ලෙ එන එක අඩු වෙලද කොහෙද රොස පට අඩුයි
Location,PERSON කොහෙද
Neutral,PERSON හරියට හරි  ගිය අවු දි සංගය වහන්සෙ මංචු දල ඇතුලට දනකොට ඔය යක්කු කොහෙද හිටියෙ මෙ ඔක්කොම පටලි ගෙ කුනු දෙෂපල
Neutral,PERSON එයි කොහෙද මනුස්සයො ඉන්නෙ මොඩ රටකජ්ජ මං තරහ වෙල ම ඉන්නව ඇ
Neutral,PERSON හරියට හරි  ගිය අවු දි සංගය වහන්සෙ මංචු දල ඇතුලට දනකොට ඔය යක්කු කොහෙද හිටියෙ මෙ ඔක්කොම පටලි ගෙ
Neutral,යන්නෙ කොහෙද මල්ලෙ පොල්  එක රටෙ අධ්යපන ක්රමයෙ වැරැද්ද නෙවෙයිද මෙ පිටුවෙ වගෙම වෙනත් පිටුවලත් මම දැකල තියෙනව
Neutral,PERSON උන් අවෙ නැ පරවල් වල යන වහන නතර කරෙ නැ කොහෙද ගියපු වහනයක් තමයි අවෙ
Neutral,PERSON එකනෙමෙහෙ නත්තල් සිය කොහෙද දන්නෙ නැමෙ දැරිවිට තැග්ගක් දෙන්න
Neutral,PERSON කොහෙද ට කත කරන්නඉතිරි අය ගැන බලන්න
Location,PERSON කොහෙද
Location,PERSON මෙ කොහෙද හරි ලස්සනයි
Neutral,PERSON ඔක දිගට තියෙ පෙරෙදද කොහෙද මම ස්ටෙටස් දැම්ම
Location,PERSON කොහෙද බෙබො ඔය
Neutral,රජයෙ ව්යපෘතිවල දෙෂපලකයන්ගෙ නම් ප්රදර්ෂනය කිරිම තහනම් කරනව කියල නෙද කිව්වෙ එතකොට මෙ කොහෙද
Neutral,අර කංද උඩ හොටලෙ පුල් එකෙ ඉදන් ෆොටො දපු කවුරුත් කියනවද එ හොටලෙ තියන්නෙ කොහෙද කියල බුක් මර්ක් එක හොයගන්න නැ අප්ප
Neutral,PERSON PERSON මෙකි ඉයෙ බිලද කොහෙද ඉදල තියෙන්නෙ මතු ප්රයොජනෙට SS ගහ ගත්ත
Location,PERSON කොහෙද කොහෙද
Neutral,PERSON ෆොන්නෙකෙ නයිට් ඩෙට තියෙනව ඇති වෙන්නකොහෙද ඉතින්වයිෆයි ඔනෙම කියනවනෙ
Location,හමුදුරුවරු හිරෙ දල පන්සල් ඩොසර් කරනකොට මුංගෙ බෞද්ධකම කොහෙද දන්නැ තිබ්බෙ
Location,PERSON බස් එකෙදි වෙච්ච සිද්දියක්ද කොහෙද
Location,PERSON කොහෙද කියල බැලුවෙ
Neutral,PERSON මරු කියවනවද කොහෙද
Neutral,අවෙ කොහෙද ගියෙ කෙහෙද දැන් යන්නෙ කොහෙද ජිවිතය හරි පුදුමයි  ිවිතය
Neutral,වැඩෙ දරුනුයි වගෙ ලෙ එනවද කොහෙද
Location,PERSON කොහෙද ඉන්නෙ දැන්
Neutral,PERSON කොහෙද මෙ අක්කගෙ වදෙට ගියෙ
Neutral,මහ වැසි මැද සොමවතියෙ බුද්ධ පුජව අකන්ඩව     සොබදහමට නොවන අවනත ලොවෙ කිසිවක් නැ    බුද්ධ සසනයත් අතුරුදහන්
Location,PERSON කොහෙද හුත් වැලපුනෙ
Location,PERSON අපි කොහෙද මෙ ඉන්නෙ
Location,PERSON PERSON කොහෙද
Location,PERSON දන්නව අලෙ මන් ඇහුවෙ මෙක කොහෙද පිහිට ල තියෙන්නෙ කියල කිරිදිවැල නම් නෙමෙ ද කොහෙ
Neutral,PERSON හෙව්ව හෙව්වඑත් නැඅපිව මුල කරනවද කොහෙද
Neutral,PERSON PERSON මෙයගෙන් Warranty එක්ක ගන්න පුලුවන් අඩුවට ද කොහෙද අවුරුද්දටම
Neutral,PERSON PERSON PERSON වෙන්න බැරි නැ මං හිතන්නෙ මෙය කියන බොරුවලට අකුනක් ගැහුවද කොහෙද එ හින්ද
Location,ඉරජ් ඔය කොහෙද
Location,PERSON රත්නපුර කොහෙද ගම්මො
Location,PERSON කොහෙද couple pres hoot එකක් කරනෙ
Location,PERSON කොහෙද මෙ
Location,PERSON කොහෙද ගන්න තියෙන්නෙ
Neutral,PERSON PERSON සර්ලොක් හොම් මෙදවස් වල නිවඩු ගිහින්ද කොහෙද
Neutral,PERSON දැන් මතක් උනෙ එ උනට උබනං අප්පච්චි මලගෙ දරුවෙක්ද කොහෙද
Neutral,රටෙ තියන ඇත්තම තත්වෙ කියගන්ඩ බැරුව ඉන්නෙ කොහෙද ඉතින් එක එකට කඩෙ යනව කියගෙන රෙද්ද උස්සන් එනවනෙ
Neutral,PERSON මම එ දවස් වලමත් ඔක කිව්වද කොහෙද
Location,PERSON බිත්තියෙ පපුව තියෙන්නෙ කොහෙද
Neutral,PERSON නම් කියක් කියලද ඉතින් කොහෙද මතක
Neutral,PERSON එකග වෙන්න ඔනිනෙඔයට වඩ මන් කෙට්ටුද කොහෙද
Location,PERSON PERSON හරි ඉතින් නුවර කොහෙද
Location,PERSON මෙ කොහෙද අලෙ
Location,PERSON PERSON කොහෙද මෙ පන් කඩෙ තියෙන්නෙ
Location,PERSON PERSON නැ ඔය කොහෙද
Neutral,PERSON ම හ එද ප්රිය සදයෙ සුරතෙ වෙලි රැගුවෙ ඇයයි කියල කියන්න තිබ්බ චන්ස් එකනෙ කොහෙද ඉතිම් මලපෙරෙත බලුමක් දලනෙ
Location,PERSON එකෙම්ම ෆ්රෙන් එකෙම්ම පොඩි අවුලකට කියල වුනෙ මිනිහගෙං වර්ක්ෂොප් එක කොහෙද තියෙන්නෙ කියල අහපුවම ගෙදර කියල
Location,කො කොහෙද
Neutral,PERSON මෙ මනුස්සය ලිප්ස්ටික් ගනවද කොහෙද
Neutral,PERSON PERSON PERSON මං ඉන්ටනෙට් එක්ස්ප්ලොරර්ද කොහෙද යුස් කරන්නෙ ඔය ක්රොම් නෙද දැං දැක්කෙ
Neutral,PERSON දන්න විදිහට නන්න බැ කොලිටියක් නැ මිගමුව බිච් එකෙමිගමුවට ගිහිල්ල කොච්චිකඩෙ බස් එකක නැග්ග නම් යන්න පු
Location,PERSON PERSON කො කොහෙද කියපන්
Location,PERSON PERSON එක කොහෙද තියෙන්නෙ
Location,PERSON PERSON PERSON PERSON තොර් ට කොහෙද සන්ත පුසෙක් උට ඉන්නෙ ඉබ්බෙක් නෙහ්
Location,මිනිස්සුන්ගෙ මනුස්සකම තියෙන්නෙ කොහෙද ඇත්තටම ්රෂ්න
Neutral,PERSON PERSON PERSON ඔවු කොහෙද මුන් කියන දෙයක් අහනවැයි
Location,PERSON ගෙදර කොහෙද
Location,PERSON PERSON ඔක එකිගෙ යලුවගෙ ද කොහෙද
Neutral,PERSON කොහෙද ඉතින් කට්ටිය අනයනික කොමිස් කැමනෙ ඉල්ලන්නෙ
Location,PERSON කොහෙද තියෙන්නෙ මොනද තියෙන්නෙ
Neutral,කොහෙද මෙක වෙන්නෙ නිති විරොධි වැඩක් මෙක
Neutral,PERSON බිලද කොහෙද
Neutral,PERSON දැනගත්ත මුල් කලෙ තිබ්බ ප්රෂ්නෙ මෙ කොලෙට ඇයි පොත කියන්නෙ කියල කොහෙද පරන සිද්ධි දන්නෙ නැනෙ
Neutral,PERSON PERSON PERSON මට කොහෙද කෙල්ලො
Neutral,සොයමි මම තවම නුබ කොහෙද හැංගෙනු මිදි මවෙතින් රැක හිනෙන් සිතට ගොඩවනු මිසක හැබැහින් එන්නෙ නැතිවද කදුල
Neutral,PERSON PERSON කොහෙද බිත්තියෙ නෙද
Neutral,PERSON PERSON හන්ඩල් එක කිව්වෙ ඔය හැඬල් එක නෙවෙයි කොලුවො Twitter handle එක කොහෙද ඉතින් මෙ
Neutral,නිතිසම්පදකයොත් උන් යැයි කියගන්න හිවල්ලු රැලක් එක්ක කොහෙද බන් මවුන්ට් එලිසබෙත් වගෙ රොහල් පද්දතියක් හදන්නෙ
Neutral,Trip to down south කියල ගෙදර එන ගමන් photo ටිකක් දැම්ම එකෙක්ටවත් එක note වෙල නැද්ද කොහෙද
Neutral,අවුරුදු වෙන ඩයල් එකක් debut සිරිස් එක ගහනව පලවෙනි මැච් එකෙ සියක් ගහනව not out* දැන් දෙවෙනි මැච් එකෙත් සියට
Neutral,PERSON එල එලනුවර කොහෙද
Neutral,PERSON එහෙම වසනවක් කොහෙද පර්සෙක වට්ටගෙන ක් විතර කෙලවගෙනනම් තියෙනො
Neutral,Car එක සොදන්න දුන්නම උ ඇහුව කොහෙද ගියෙ මෙකෙ කියල හිතගන්නකො ඉතින් car එකෙ condition එක
Location,ඔක්තොබර් වෙනකං හැම මසෙම විසිඑක්වැනි ද Facebook එකෙඅනුස්මරනය කරපු ලංකවෙ මිනිස්සු දැන් කොහෙද උන් මැරිල එංගලන්ත ව
Location,PERSON කොහෙද ඉන්නෙ අද
Location,PERSON කොහෙද තියෙන්නෙ
Neutral,PERSON හම්මෙ අයින්ස්ටයින්ගෙ ක්ලොන් එකක්ද කොහෙද මෙ
Neutral,PERSON : අනුපතය මන් හිතන්නෙ ඔය ගනන් පඩමක් ද කොහෙද අහන්නෙ
Location,මම  ඔබ  නිදන නින්දෙ සුව කොහෙද වින්දෙ සෙවනැලි සද රැදෙවි
Neutral,කසිප්පු බොන්න දවසට වතවක් දුවන මිනිහෙක් යන්නෙ බයිසිකලෙන් උන්නු ගමන් ගෙදර එන්නෙ රැට ත්රි විල් එකෙන් එ කියන්නෙ එන්න
Neutral,PERSON PERSON PERSON රජිතගෙ බෙහෙත් මෆියවෙන් කොමිස් ගත්ත එකෙක්ද කොහෙද
Location,PERSON ඔය කොහෙද ඉන්නෙ
Location,කොහෙද යකො මෙව හංගල තිබුනෙ
Neutral,PERSON PERSON PERSON PERSON PERSON PERSON PERSON සිරවට දෙයක් හොදින් පැහැ
Location,PERSON PERSON Hutchison Asia Telecom එක කොහෙද බං සිංගප්පුරුවෙ තියෙන්නෙ Hutchison Asia Telecom තියෙන්නෙ හොන්ග්
Neutral,PERSON PERSON කොහෙද යන්නෙ මල්ලෙ පොල්
Location,PERSON තෙරුන ඔය කලින් ඉදල තියෙන්නෙ කලවෙද කොහෙද
Location,PERSON PERSON ගෙදර කොහෙද
Location,PERSON එකනෙ දන්නවනම් ටිකක් කලින් එනව එක නෙමෙයි නුවර කොහෙ කොහෙද රවුම් ගැහුවෙ අම්මනම් කිව්ව අද දවසම වගෙ වැස්ස කියල
Neutral,කසිප්පු බොන්න දවසට වතවක් දුවන මිනිහෙක් යන්නෙ බයිසිකලෙන් උන්නු ගමන් ගෙදර එන්නෙ රැට ත්රි විල් එකෙන් එ කියන්
Location,නංගි කොහෙද   බදුල්ලෙ සොක් පලත   සොක් හැබැයි සමහර දවසට සොක්  background music ruining the vibe
Neutral,PERSON අඩො මන් වසරෙදි තප්පෙකින් පැනල කකුල කඩගෙන මස ගනක් මෙසයක් ඉඩ දපල හිටියඔක තමයි ප්ලෙ කලෙ එ කලෙ කොහෙද විඩියො ගෙම්
Location,PERSON ඔය කොහෙද හලවත අවෙ ලගටම ඇවිත් ගිහින්
Location,PERSON දමු දමු කොහෙද දන්නෙ
Location,PERSON එය කොහෙද පලත් සබ
Location,PERSON PERSON කුරුනැගල කොහෙද
